character	initial	final	tone	mc
㐀	qj	rv	0	
㐁	d	ov	2	ŧom2,ŧem2
㐂	ṯ	rn	3	
㐃	ţ	im	0	
㐄	ꝁv	a	0	
㐅	g		1	
㐆	q	i	0	qioi0,qion1
㐇	k	rv	1	
㐈	j	rm	3	
㐉	t	ig	0	
㐊	z	i	2	
㐋	ŧ	ov	1	
㐌		i	0	
㐍	ţ	av	1	
㐎	m	rn	0	
㐏	g		1	
㐐	n	ov	0	
㐑	t	ug	0	
㐒	ḑ	iv	2	
㐓	x	o	1	
㐔	x	rg	0	
㐕	j	rv	0	
㐖	ꝁ	in	3	
㐗	l	ov	1	
㐘	m	rj	1	
㐙	d	rv	2	
㐚	g		0	
㐛	j	rv	2	
㐜	z	rv	0	
㐝	ꝁ	y	0	
㐞	c	ej	0	
㐟	pv	ej	0	
㐠		y	1	
㐡	n	o	2	
㐢	bhv	rv	0	
㐣	pv	u	2	
㐤	t	an	0	
㐥	ḑ	o	0	
㐦	k	y	1	
㐧	ḑ	oj	0	
㐨	ḑ	wj	2	
㐩		ig	0	
㐪	s	i	1	
㐫	x	ug	0	
㐬	l	rv	0	
㐭	l	rm	1	lim1
㐮	s	wg	0	
㐯	j	ug	0	
㐰	s	on	2	
㐱	ŧj	rn	1	ţjin1
㐲	d	aj	2	dad0
㐳	g	rn	3	
㐴	ꝑ	an	0	
㐵		y	0	
㐶	ḑ	i	1	
㐸	ꝁ	im	2	ꝁiam2
㐹	g	rn	3	
㐺	j	rm	0	
㐻	n	oj	2	
㐼	ṯ	ig	1	
㐾		un	2	
㐿	s	rv	1	
㑀	ŧ	aj	2	
㑁	tj	on	3	tryt
㑂	pv	og	1	
㑃	q	av	1	qrau2
㑄	m	ov	1	
㑅	ţ	og	3	
㑆	x	ig	0	
㑉	s	ug	3	siuk
㑊		ig	3	
㑋	x	ug	2	
㑌	x	og	0	
㑌	qv	og	0	
㑍	l	oj	2	
㑎	n	ov	1	
㑏	ḑ	y	1	
㑐	s	ug	3	
㑑	ḑ	rn	3	
㑒	ṯ	im	0	
㑓	ţ	on	2	
㑕	s	wj	2	
㑖	ḑ	ug	2	
㑗	sj	rn	0	sjin0
㑘	k	aj	2	
㑙	t	im	3	tep
㑚	n	a	1	
㑛	s	ug	3	suk,sjyuk
㑜	j	rj	2	jed0,ŧried0
㑝	l	ug	2	
㑞		ig	2	jig2
㑟	p	rg	1	prag1
㑠	k	in	0	
㑡	ţ	ig	3	
㑢	ꝁ	wg	3	
㑣	l	am	0	
㑤	m	av	0	
㑥		i	2	je2
㑦	l	rj	2	le2
㑧	kv	i	2	
㑨		y	1	
㑪	ḑ	aj	0	
㑫	n	im	2	
㑬	k	u	0	
㑭	p	ej	1	
㑮	gv	rn	0	xuon0,guon0
㑯	s	wj	1	
㑰	pv	uj	2	
㑱		iv	1	
㑲	n	am	0	
㑳	tj	rv	2	ţryo0,ḑriu2,nrep
㑳	ŧj	rv	0	ţryo0,ḑriu2,nrep
㑴	ṯ	rm	0	
㑵	ḑ	rn	3	ḑit
㑶	x	ej	2	
㑷	ŧ	aj	2	
㑸		iv	0	
㑹		uj	2	
