character	initial	final	tone	roman	ascii	pretty	no-emc-data
㐀	qj	rv	0	qjrvˋ	qjrv0	qjr̀v	!
㐁	d	ov	2	dovˉ	dov2	dov	
㐂	ṭx	rn	3	ṭxrnˈ	txjrn3	ṭxrt	!
㐃	ṭ	im	0	ṭimˋ	tjim0	ṭìm	!
㐄	kxv	a	0	kxvaˋ	kxva0	kxvà	!
㐅	g		1	gˊ	g1	ǵ	!
㐆	q	i	0	qiˋ	qi0	qì	
㐇	k	rv	1	krvˊ	krv1	kŕv	!
㐈	j	rm	3	jrmˈ	jrm3	jrp	!
㐉	t	ig	0	tigˋ	tig0	tìg	!
㐊	ẓ	i	2	ẓiˉ	zji2	ẓi	!
㐋	tx	ov	1	txovˊ	txov1	txóv	!
㐌		i	0	iˋ	i0	ì	!
㐍	ṭ	av	1	ṭavˊ	tjav1	ṭáv	!
㐎	m	rn	0	mrnˋ	mrn0	mr̀n	!
㐏	g		1	gˊ	g1	ǵ	!
㐐	n	ov	0	novˋ	nov0	nòv	!
㐑	t	ug	0	tugˋ	tug0	tùg	!
㐒	ḍ	iv	2	ḍivˉ	djiv2	ḍiv	!
㐓	x	o	1	xoˊ	xo1	xó	!
㐔	x	rg	0	xrgˋ	xrg0	xr̀g	!
㐕	j	rv	0	jrvˋ	jrv0	jr̀v	!
㐖	kx	in	3	kxinˈ	kxin3	kxit	!
㐗	l	ov	1	lovˊ	lov1	lóv	!
㐘	m	rj	1	mrjˊ	mrj1	mŕj	!
㐙	d	rv	2	drvˉ	drv2	drv	!
㐚	g		0	gˋ	g0	g̀	!
㐛	j	rv	2	jrvˉ	jrv2	jrv	!
㐜	ẓ	rv	0	ẓrvˋ	zjrv0	ẓr̀v	!
㐝	kx	ơj	0	kxơjˋ	kxeoj0	kxờj	!
㐞	c	ej	0	cejˋ	cej0	cèj	!
㐟	f	ej	0	fejˋ	fej0	fèj	!
㐠		y	1	yˊ	y1	ý	!
㐡	n	o	2	noˉ	no2	no	!
㐢	w	rv	0	wrvˋ	wrv0	wr̀v	!
㐣	f	u	2	fuˉ	fu2	fu	!
㐤	t	an	0	tanˋ	tan0	tàn	!
㐥	ḍ	o	0	ḍoˋ	djo0	ḍò	!
㐦	k	ơj	1	kơjˊ	keoj1	kớj	!
㐧	ḍ	oj	0	ḍojˋ	djoj0	ḍòj	!
㐨	ḍ	ơj	2	ḍơjˉ	djeoj2	ḍơj	!
㐩		ig	0	igˋ	ig0	ìg	!
㐪	ṣ	i	1	ṣiˊ	sji1	ṣí	!
㐫	x	ug	0	xugˋ	xug0	xùg	!
㐬	l	rv	0	lrvˋ	lrv0	lr̀v	!
㐭	l	rm	1	lrmˊ	lrm1	lŕm	
㐮	ṣ	ơg	0	ṣơgˋ	sjeog0	ṣờg	!
㐯	j	ug	0	jugˋ	jug0	jùg	!
㐰	ṣ	on	2	ṣonˉ	sjon2	ṣon	!
㐱	ṭx	rn	1	ṭxrnˊ	txjrn1	ṭxŕn	
㐲	d	aj	2	dajˉ	daj2	daj	
㐳	g	rn	3	grnˈ	grn3	grt	!
㐴	px	an	0	pxanˋ	pxan0	pxàn	!
㐵		y	0	yˋ	y0	ỳ	!
㐶	ḍ	i	1	ḍiˊ	dji1	ḍí	!
㐸	x	im	2	ximˉ	xim2	xim	
㐹	g	rn	3	grnˈ	grn3	grt	!
㐺	j	rm	0	jrmˋ	jrm0	jr̀m	!
㐻	n	oj	2	nojˉ	noj2	noj	!
㐼	ṭx	ig	1	ṭxigˊ	txjig1	ṭxíg	!
㐾		un	2	unˉ	un2	un	!
㐿	ṣ	rv	1	ṣrvˊ	sjrv1	ṣŕv	!
㑀	tx	aj	2	txajˉ	txaj2	txaj	!
㑁	ṭ	on	3	ṭonˈ	tjon3	ṭot	
㑂	f	og	1	fogˊ	fog1	fóg	!
㑃	q	av	1	qavˊ	qav1	qáv	
㑄	m	ov	1	movˊ	mov1	móv	!
㑅	ṭ	og	3	ṭogˈ	tjog3	ṭok	!
㑆	x	ig	0	xigˋ	xig0	xìg	!
㑉	s	ug	3	sugˈ	sug3	suk	
㑊		ig	3	igˈ	ig3	ik	!
㑋	x	ug	2	xugˉ	xug2	xug	!
㑌	x	og	0	xogˋ	xog0	xòg	!
㑌	qv	og	0	qvogˋ	qvog0	qvòg	!
㑍	l	oj	2	lojˉ	loj2	loj	!
㑎	n	ov	1	novˊ	nov1	nóv	!
㑏	ḍ	y	1	ḍyˊ	djy1	ḍý	!
㑐	ṣ	ug	3	ṣugˈ	sjug3	ṣuk	!
㑑	ḍ	rn	3	ḍrnˈ	djrn3	ḍrt	!
㑒	ṭx	im	0	ṭximˋ	txjim0	ṭxìm	!
㑓	ṭ	on	2	ṭonˉ	tjon2	ṭon	!
㑕	ṣ	ơj	2	ṣơjˉ	sjeoj2	ṣơj	!
㑖	ḍ	ug	2	ḍugˉ	djug2	ḍug	!
㑗	ṣ	rn	0	ṣrnˋ	sjrn0	ṣr̀n	
㑘	k	aj	2	kajˉ	kaj2	kaj	!
㑙	t	im	3	timˈ	tim3	tip	
㑚	n	a	1	naˊ	na1	ná	!
㑛	s	ug	3	sugˈ	sug3	suk	
㑜	j	rj	2	jrjˉ	jrj2	jrj	
㑝	l	ug	2	lugˉ	lug2	lug	!
㑞		ig	2	igˉ	ig2	ig	
㑟	p	rg	1	prgˊ	prg1	pŕg	
㑠	k	in	0	kinˋ	kin0	kìn	!
㑡	ṭ	ig	3	ṭigˈ	tjig3	ṭik	!
㑢	kx	ơg	3	kxơgˈ	kxeog3	kxơk	!
㑣	l	am	0	lamˋ	lam0	làm	!
㑤	m	av	0	mavˋ	mav0	màv	!
㑥		i	2	iˉ	i2	i	
㑦	l	rj	2	lrjˉ	lrj2	lrj	
㑧	kv	i	2	kviˉ	kvi2	kvi	!
㑨		y	1	yˊ	y1	ý	!
㑪	ḍ	aj	0	ḍajˋ	djaj0	ḍàj	!
㑫	n	im	2	nimˉ	nim2	nim	!
㑬	k	u	0	kuˋ	ku0	kù	!
㑭	p	ej	1	pejˊ	pej1	péj	!
㑮	gv	rn	0	gvrnˋ	gvrn0	gvr̀n	
㑯	ṣ	ơj	1	ṣơjˊ	sjeoj1	ṣớj	!
㑰	f	uj	2	fujˉ	fuj2	fuj	!
㑱		iv	1	ivˊ	iv1	ív	!
㑲	n	am	0	namˋ	nam0	nàm	!
㑳	ṭ	rv	2	ṭrvˉ	tjrv2	ṭrv	
㑳	ṭx	rv	0	ṭxrvˋ	txjrv0	ṭxr̀v	
㑴	ṭx	rm	0	ṭxrmˋ	txjrm0	ṭxr̀m	!
㑵	đ	rn	3	đrnˈ	dzrn3	đrt	
㑶	x	ej	2	xejˉ	xej2	xej	!
㑷	tx	aj	2	txajˉ	txaj2	txaj	!
㑸		iv	0	ivˋ	iv0	ìv	!
㑹		uj	2	ujˉ	uj2	uj	!
㑺	ṭ	on	2	ṭonˉ	tjon2	ṭon	!
㑻	qm	an	3	qmanˈ	qman3	qmat	
㑼	l	ơg	3	lơgˈ	leog3	lơk	!
㑽	d	og	0	dogˋ	dog0	dòg	!
㑾		iv	0	ivˋ	iv0	ìv	!
㑿	ḍ	av	2	ḍavˉ	djav2	ḍav	
㒀	ḍ	ag	3	ḍagˈ	djag3	ḍak	!
㒁		y	1	yˊ	y1	ý	!
㒂	ṭ	ơg	3	ṭơgˈ	tjeog3	ṭơk	!
㒃		i	2	iˉ	i2	i	!
㒄	ṇ	in	1	ṇinˊ	njin1	ṇín	
㒅	kx	rj	1	kxrjˊ	kxrj1	kxŕj	
㒆	kx	rm	3	kxrmˈ	kxrm3	kxrp	!
㒇	m	ov	1	movˊ	mov1	móv	
㒈	x	am	2	xamˉ	xam2	xam	
㒉	ṭx	og	1	ṭxogˊ	txjog1	ṭxóg	!
㒊	ṣ	am	3	ṣamˈ	sjam3	ṣap	
㒋	s	i	0	siˋ	si0	sì	
㒌	c	ig	0	cigˋ	cig0	cìg	
㒍	l	ơj	0	lơjˋ	leoj0	lờj	!
㒎	ṣ	am	3	ṣamˈ	sjam3	ṣap	!
㒏	h	on	0	honˋ	hon0	hòn	!
㒐	ṣ	on	1	ṣonˊ	sjon1	ṣón	!
㒑	f	uj	1	fujˊ	fuj1	fúj	!
㒒	b	ug	3	bugˈ	bug3	buk	!
㒓	tx	an	3	txanˈ	txan3	txat	
㒔	ẓ	ug	3	ẓugˈ	zjug3	ẓuk	
㒕	q	og	0	qogˋ	qog0	qòg	!
㒖	g	rv	1	grvˊ	grv1	gŕv	!
㒗	d	oj	0	dojˋ	doj0	dòj	!
㒘	ẓ	y	2	ẓyˉ	zjy2	ẓy	!
㒙	m	in	0	minˋ	min0	mìn	!
㒚	qj	rn	2	qjrnˉ	qjrn2	qjrn	
㒛	d	iv	1	divˊ	div1	dív	!
㒜		y	1	yˊ	y1	ý	!
㒝	m	in	3	minˈ	min3	mit	
㒞	v	i	2	viˉ	vi2	vi	!
㒟	n	iv	1	nivˊ	niv1	nív	
㒠	h	aj	2	hajˉ	haj2	haj	
㒡	j	rv	0	jrvˋ	jrv0	jr̀v	!
㒢	j	og	3	jogˈ	jog3	jok	!
㒣	q	ig	2	qigˉ	qig2	qig	!
㒤	ṭx	im	3	ṭximˈ	txjim3	ṭxip	!
㒥	fx	ug	0	fxugˋ	fxug0	fxùg	
㒦	l	ơj	1	lơjˊ	leoj1	lớj	!
㒧	l	rj	2	lrjˉ	lrj2	lrj	!
㒨	s	in	0	sinˋ	sin0	sìn	
㒩	ql	o	1	qloˊ	qlo1	qló	!
㒪	ṣ	eg	3	ṣegˈ	sjeg3	ṣek	!
㒫	k	ej	2	kejˉ	kej2	kej	!
㒬	qv	og	0	qvogˋ	qvog0	qvòg	!
㒭	kxv	rn	0	kxvrnˋ	kxvrn0	kxvr̀n	!
㒮	f	uj	0	fujˋ	fuj0	fùj	!
㒯		im	3	imˈ	im3	ip	!
㒰	ḍ	yn	0	ḍynˋ	djyn0	ḍỳn	!
㒱	ḍ	ig	3	ḍigˈ	djig3	ḍik	!
㒲	ḍ	oj	0	ḍojˋ	djoj0	ḍòj	!
㒳	l	ơg	1	lơgˊ	leog1	lớg	
㒴	kv	rn	3	kvrnˈ	kvrn3	kvrt	
㒵	m	av	2	mavˉ	mav2	mav	!
㒶	k	ug	0	kugˋ	kug0	kùg	!
㒷	x	ig	0	xigˋ	xig0	xìg	!
㒸	z	uj	2	zujˉ	zuj2	zuj	
㒹	t	in	0	tinˋ	tin0	tìn	
㒺	m	og	1	mogˊ	mog1	móg	!
㒻	m	ov	2	movˉ	mov2	mov	!
㒼	m	un	0	munˋ	mun0	mùn	
㒼	m	rg	0	mrgˋ	mrg0	mr̀g	
㒽	x	yn	0	xynˋ	xyn0	xỳn	
㒾	ṭx	i	2	ṭxiˉ	txji2	ṭxi	
㒿	l	ej	0	lejˋ	lej0	lèj	!
㓀	p	ug	3	pugˈ	pug3	puk	!
㓁	m	og	1	mogˊ	mog1	móg	!
㓂	kx	rv	2	kxrvˉ	kxrv2	kxrv	!
㓃	t	ov	2	tovˉ	tov2	tov	
㓄	ṭ	rm	2	ṭrmˉ	tjrm2	ṭrm	
㓅	tx	ig	0	txigˋ	txig0	txìg	!
㓆	l	on	0	lonˋ	lon0	lòn	!
㓇	qj	ug	3	qjugˈ	qjug3	qjuk	!
㓈	p	ig	2	pigˉ	pig2	pig	!
㓉		un	3	unˈ	un3	ut	!
㓊	d	ug	2	dugˉ	dug2	dug	
㓋	c	ug	2	cugˉ	cug2	cug	!
㓌	ṭx	rg	0	ṭxrgˋ	txjrg0	ṭxr̀g	!
㓍	ṭx	ug	0	ṭxugˋ	txjug0	ṭxùg	!
㓎	ṭx	rm	0	ṭxrmˋ	txjrm0	ṭxr̀m	!
㓏	kv	ig	1	kvigˊ	kvig1	kvíg	!
㓐	l	ug	3	lugˈ	lug3	luk	!
㓑		ig	2	igˉ	ig2	ig	!
㓒	ṭx	rn	3	ṭxrnˈ	txjrn3	ṭxrt	!
㓓	n	am	0	namˋ	nam0	nàm	!
㓔	ḍ	e	2	ḍeˉ	dje2	ḍe	!
㓕	m	in	3	minˈ	min3	mit	!
㓖	p	rn	3	prnˈ	prn3	prt	
㓗	k	in	3	kinˈ	kin3	kit	!
㓘	ṣ	ug	3	ṣugˈ	sjug3	ṣuk	!
㓙	x	ug	0	xugˋ	xug0	xùg	!
㓚	k	ug	0	kugˋ	kug0	kùg	
㓛	k	ug	0	kugˋ	kug0	kùg	!
㓜	qj	rv	2	qjrvˉ	qjrv2	qjrv	!
㓝	h	ig	0	higˋ	hig0	hìg	
㓞	kx	in	3	kxinˈ	kxin3	kxit	!
㓟	px	rj	0	pxrjˋ	pxrj0	pxr̀j	!
㓠	t	im	2	timˉ	tim2	tim	
㓡	f	u	1	fuˊ	fu1	fú	!
㓢	l	og	3	logˈ	log3	lok	
㓣	x	rm	3	xrmˈ	xrm3	xrp	
㓤	k	rn	3	krnˈ	krn3	krt	
㓤	kx	in	3	kxinˈ	kxin3	kxit	
㓦	qm	ag	3	qmagˈ	qmag3	qmak	!
㓦	p	ag	3	pagˈ	pag3	pak	!
㓧	k	rm	0	krmˋ	krm0	kr̀m	!
㓨	ṭx	i	2	ṭxiˉ	txji2	ṭxi	!
㓨	ṭx	ig	3	ṭxigˈ	txjig3	ṭxik	!
㓩	x	yn	0	xynˋ	xyn0	xỳn	!
㓪	l	og	1	logˊ	log1	lóg	!
㓫	f	u	0	fuˋ	fu0	fù	!
㓬	f	u	0	fuˋ	fu0	fù	!
㓭	x	on	3	xonˈ	xon3	xot	!
㓮	t	iv	0	tivˋ	tiv0	tìv	!
㓯	l	ej	0	lejˋ	lej0	lèj	!
㓰	v	ag	3	vagˈ	vag3	vak	!
㓱	d	rv	0	drvˋ	drv0	dr̀v	
㓲	px	in	0	pxinˋ	pxin0	pxìn	!
㓳	t	rj	0	trjˋ	trj0	tr̀j	
㓴		yn	1	ynˊ	yn1	ýn	!
㓵	g	og	3	gogˈ	gog3	gok	!
㓶	kx	in	3	kxinˈ	kxin3	kxit	!
㓷	g	i	2	giˉ	gi2	gi	
㓸	ṭ	ơg	3	ṭơgˈ	tjeog3	ṭơk	!
㓹	j	oj	2	jojˉ	joj2	joj	
㓺	c	in	0	cinˋ	cin0	cìn	
㓻	k	og	0	kogˋ	kog0	kòg	
㓼	ṭx	rn	3	ṭxrnˈ	txjrn3	ṭxrt	
㓽	ẓ	ug	0	ẓugˋ	zjug0	ẓùg	
㓾	ṣ	rj	0	ṣrjˋ	sjrj0	ṣr̀j	!
㓿	ṣ	y	1	ṣyˊ	sjy1	ṣý	!
㔀	c	ig	0	cigˋ	cig0	cìg	!
㔁	t	rg	0	trgˋ	trg0	tr̀g	!
㔂	l	on	0	lonˋ	lon0	lòn	
㔃	ḍ	yn	3	ḍynˈ	djyn3	ḍyt	!
㔄	s	ug	3	sugˈ	sug3	suk	
㔅	ṣ	iv	2	ṣivˉ	sjiv2	ṣiv	!
㔆	đ	am	1	đamˊ	dzam1	đám	
㔇	px	un	3	pxunˈ	pxun3	pxut	!
㔈	w	ej	2	wejˉ	wej2	wej	!
