character	initial	final	tone	roman	emc-entry
㐀	qj	rv	0	qjằv	0
㐁	d	u	2	du	2
㐂	ṭx	rn	3	ṭxӑt	0
㐃	ṭ	im	0	ṭìm	0
㐄	kxv	a	0	kxvà	0
㐅	g		1	ǵ	0
㐆	q	i	0	qì	2
㐇	k	rv	1	kắv	0
㐈	j	rm	3	jӑp	0
㐉	t	ig	0	tìg	0
㐊	ẓ	ej	2	ẓej	0
㐋	tx	u	1	txú	0
㐌		ej	0	èj	0
㐍	ṭ	av	1	ṭáv	0
㐎	m	rn	0	mằn	0
㐏	g		1	ǵ	0
㐐	n	u	0	nù	0
㐑	t	ug	0	tùg	0
㐒	ḍ	iv	2	ḍiv	0
㐓	x	o	1	xó	0
㐔	x	rg	0	xằg	0
㐕	j	rv	0	jằv	0
㐖	kx	in	3	kxit	0
㐗	l	u	1	lú	0
㐘	m	rj	1	mắj	0
㐙	d	rv	2	dӑv	0
㐚	g		0	g̀	0
㐛	j	rv	2	jӑv	0
㐜	ẓ	rv	0	ẓằv	0
㐝	kx	ơj	0	kxờj	0
㐞	c	ej	0	cèj	0
㐟	f	ej	0	fèj	0
㐠		y	1	ý	0
㐡	n	o	2	no	0
㐢	w	rv	0	wằv	0
㐣	f	u	2	fu	0
㐤	t	an	0	tàn	0
㐥	ḍ	o	0	ḍò	0
㐦	k	ơj	1	kớj	0
㐧	ḍ	oj	0	ḍòj	0
㐨	ḍ	ơj	2	ḍơj	0
㐩		ig	0	ìg	0
㐪	ṣ	ej	1	ṣéj	0
㐫	x	ug	0	xùg	0
㐬	l	rv	0	lằv	0
㐭	l	rm	1	lắm	1
㐮	ṣ	ơg	0	ṣờg	0
㐯	j	ug	0	jùg	0
㐰	ṣ	on	2	ṣon	0
㐱	ṭx	rn	1	ṭxắn	1
㐲	d	aj	2	daj	1
㐳	g	rn	3	gӑt	0
㐴	px	an	0	pxàn	0
㐵		y	0	ỳ	0
㐶	ḍ	ej	1	ḍéj	0
㐸	x	im	2	xim	1
㐹	g	rn	3	gӑt	0
㐺	j	rm	0	jằm	0
㐻	n	oj	2	noj	0
㐼	ṭx	ig	1	ṭxíg	0
㐾		un	2	un	0
㐿	ṣ	rv	1	ṣắv	0
㑀	tx	aj	2	txaj	0
㑁	ṭ	on	3	ṭot	1
㑂	f	og	1	fóg	0
㑃	q	av	1	qáv	1
㑄	m	u	1	mú	0
㑅	ṭ	og	3	ṭok	0
㑆	x	ig	0	xìg	0
㑉	s	ug	3	suk	1
㑊		ig	3	ik	0
㑋	x	ug	2	xug	0
㑌	x	og	0	xòg	0
㑌	qv	og	0	qvòg	0
㑍	l	oj	2	loj	0
㑎	n	u	1	nú	0
㑏	ḍ	y	1	ḍý	0
㑐	ṣ	ug	3	ṣuk	0
㑑	ḍ	rn	3	ḍӑt	0
㑒	ṭx	im	0	ṭxìm	0
㑓	ṭ	on	2	ṭon	0
㑕	ṣ	ơj	2	ṣơj	0
㑖	ḍ	ug	2	ḍug	0
㑗	ṣ	rn	0	ṣằn	1
㑘	k	aj	2	kaj	0
㑙	t	im	3	tip	1
㑚	n	a	1	ná	0
㑛	s	ug	3	suk	2
㑜	j	rj	2	jӑj	2
㑝	l	ug	2	lug	0
㑞		ig	2	ig	1
㑟	p	rg	1	pắg	1
㑠	k	in	0	kìn	0
㑡	ṭ	ig	3	ṭik	0
㑢	kx	ơg	3	kxơk	0
㑣	l	am	0	làm	0
㑤	m	av	0	màv	0
㑥		i	2	i	1
㑦	l	rj	2	lӑj	1
㑧	kv	ej	2	kvej	0
㑨		y	1	ý	0
㑪	ḍ	aj	0	ḍàj	0
㑫	n	im	2	nim	0
㑬	k	u	0	kù	0
㑭	p	ej	1	péj	0
㑮	gv	rn	0	gvằn	2
㑯	ṣ	ơj	1	ṣớj	0
㑰	f	uj	2	fuj	0
㑱		iv	1	ív	0
㑲	n	am	0	nàm	0
㑳	ṭ	rv	2	ṭӑv	3
㑳	ṭx	rv	0	ṭxằv	3
㑴	ṭx	rm	0	ṭxằm	0
㑵	đ	rn	3	đӑt	1
㑶	x	ej	2	xej	0
㑷	tx	aj	2	txaj	0
㑸		iv	0	ìv	0
